Abbreviation,TeamName,GridPosition,Position,Points,Season,RoundNumber,EventName,Podium,Rainfall,AirTemp
LEC,Ferrari,1.0,1.0,26.0,2022,1,Bahrain Grand Prix,1,False,23.2
SAI,Ferrari,3.0,2.0,18.0,2022,1,Bahrain Grand Prix,1,False,23.2
HAM,Mercedes,5.0,3.0,15.0,2022,1,Bahrain Grand Prix,1,False,23.2
RUS,Mercedes,9.0,4.0,12.0,2022,1,Bahrain Grand Prix,0,False,23.2
MAG,Haas F1 Team,7.0,5.0,10.0,2022,1,Bahrain Grand Prix,0,False,23.2
BOT,Alfa Romeo,6.0,6.0,8.0,2022,1,Bahrain Grand Prix,0,False,23.2
OCO,Alpine,11.0,7.0,6.0,2022,1,Bahrain Grand Prix,0,False,23.2
TSU,AlphaTauri,16.0,8.0,4.0,2022,1,Bahrain Grand Prix,0,False,23.2
ALO,Alpine,8.0,9.0,2.0,2022,1,Bahrain Grand Prix,0,False,23.2
ZHO,Alfa Romeo,15.0,10.0,1.0,2022,1,Bahrain Grand Prix,0,False,23.2
MSC,Haas F1 Team,12.0,11.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
STR,Aston Martin,19.0,12.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
ALB,Williams,14.0,13.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
RIC,McLaren,18.0,14.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
NOR,McLaren,13.0,15.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
LAT,Williams,20.0,16.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
HUL,Aston Martin,17.0,17.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
PER,Red Bull Racing,4.0,18.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
VER,Red Bull Racing,2.0,19.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
GAS,AlphaTauri,10.0,20.0,0.0,2022,1,Bahrain Grand Prix,0,False,23.2
VER,Red Bull Racing,4.0,1.0,25.0,2022,2,Saudi Arabian Grand Prix,1,False,25.4
LEC,Ferrari,2.0,2.0,19.0,2022,2,Saudi Arabian Grand Prix,1,False,25.4
SAI,Ferrari,3.0,3.0,15.0,2022,2,Saudi Arabian Grand Prix,1,False,25.4
PER,Red Bull Racing,1.0,4.0,12.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
RUS,Mercedes,6.0,5.0,10.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
OCO,Alpine,5.0,6.0,8.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
NOR,McLaren,11.0,7.0,6.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
GAS,AlphaTauri,9.0,8.0,4.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
MAG,Haas F1 Team,10.0,9.0,2.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
HAM,Mercedes,15.0,10.0,1.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
ZHO,Alfa Romeo,12.0,11.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
HUL,Aston Martin,17.0,12.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
STR,Aston Martin,13.0,13.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
ALB,Williams,16.0,14.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
BOT,Alfa Romeo,8.0,15.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
ALO,Alpine,7.0,16.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
RIC,McLaren,14.0,17.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
LAT,Williams,18.0,18.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
TSU,AlphaTauri,19.0,19.0,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
MSC,Haas F1 Team,,,0.0,2022,2,Saudi Arabian Grand Prix,0,False,25.4
LEC,Ferrari,1.0,1.0,26.0,2022,3,Australian Grand Prix,1,False,26.7
PER,Red Bull Racing,3.0,2.0,18.0,2022,3,Australian Grand Prix,1,False,26.7
RUS,Mercedes,6.0,3.0,15.0,2022,3,Australian Grand Prix,1,False,26.7
HAM,Mercedes,5.0,4.0,12.0,2022,3,Australian Grand Prix,0,False,26.7
NOR,McLaren,4.0,5.0,10.0,2022,3,Australian Grand Prix,0,False,26.7
RIC,McLaren,7.0,6.0,8.0,2022,3,Australian Grand Prix,0,False,26.7
OCO,Alpine,8.0,7.0,6.0,2022,3,Australian Grand Prix,0,False,26.7
BOT,Alfa Romeo,12.0,8.0,4.0,2022,3,Australian Grand Prix,0,False,26.7
GAS,AlphaTauri,11.0,9.0,2.0,2022,3,Australian Grand Prix,0,False,26.7
ALB,Williams,20.0,10.0,1.0,2022,3,Australian Grand Prix,0,False,26.7
ZHO,Alfa Romeo,14.0,11.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
STR,Aston Martin,19.0,12.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
MSC,Haas F1 Team,15.0,13.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
MAG,Haas F1 Team,16.0,14.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
TSU,AlphaTauri,13.0,15.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
LAT,Williams,18.0,16.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
ALO,Alpine,10.0,17.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
VER,Red Bull Racing,2.0,18.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
VET,Aston Martin,17.0,19.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
SAI,Ferrari,9.0,20.0,0.0,2022,3,Australian Grand Prix,0,False,26.7
VER,Red Bull Racing,1.0,1.0,26.0,2022,4,Emilia Romagna Grand Prix,1,False,13.1
PER,Red Bull Racing,3.0,2.0,18.0,2022,4,Emilia Romagna Grand Prix,1,False,13.1
NOR,McLaren,5.0,3.0,15.0,2022,4,Emilia Romagna Grand Prix,1,False,13.1
RUS,Mercedes,11.0,4.0,12.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
BOT,Alfa Romeo,7.0,5.0,10.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
LEC,Ferrari,2.0,6.0,8.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
TSU,AlphaTauri,12.0,7.0,6.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
VET,Aston Martin,13.0,8.0,4.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
MAG,Haas F1 Team,8.0,9.0,2.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
STR,Aston Martin,15.0,10.0,1.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
