Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
15,4,1.0,0.0,0.0,,1
24,4,3.0,26.0,1.0,,1
11,8,5.0,18.0,3.0,,1
23,8,9.0,15.0,3.0,,0
16,5,7.0,12.0,7.0,,0
5,0,6.0,10.0,5.0,,0
19,2,11.0,8.0,6.0,,0
27,1,16.0,6.0,7.0,,0
1,2,8.0,4.0,8.0,,0
30,0,15.0,2.0,16.0,,0
17,5,12.0,1.0,16.0,,0
26,3,19.0,0.0,16.0,,0
0,12,14.0,0.0,12.0,,0
22,7,18.0,0.0,13.0,,0
18,7,13.0,0.0,14.0,,0
13,12,20.0,0.0,29.0,,0
12,3,17.0,0.0,29.0,,0
20,11,4.0,0.0,29.0,,0
28,11,2.0,0.0,18.0,,0
9,1,10.0,0.0,37.0,,0
28,11,4.0,0.0,28.0,19.0,1
15,4,2.0,25.0,38.0,1.0,1
24,4,3.0,45.0,5.0,2.0,1
20,11,1.0,33.0,8.0,18.0,0
23,8,6.0,12.0,42.0,4.0,0
19,2,5.0,22.0,12.0,7.0,0
18,7,11.0,14.0,22.0,15.0,0
9,1,9.0,6.0,36.0,20.0,0
16,5,10.0,4.0,36.0,5.0,0
11,8,15.0,12.0,25.0,3.0,0
30,0,12.0,16.0,22.0,10.0,0
12,3,17.0,1.0,27.0,17.0,0
26,3,13.0,0.0,41.0,12.0,0
0,12,16.0,0.0,54.0,13.0,0
5,0,8.0,0.0,43.0,6.0,0
1,2,7.0,8.0,42.0,9.0,0
22,7,14.0,2.0,38.0,14.0,0
13,12,18.0,0.0,53.0,16.0,0
27,1,19.0,0.0,61.0,8.0,0
17,5,,4.0,55.0,11.0,0
15,4,1.0,0.0,0.0,1.5,1
20,11,3.0,71.0,9.0,11.0,1
23,8,6.0,30.0,44.0,4.5,1
11,8,5.0,37.0,25.0,6.5,0
18,7,4.0,28.0,29.0,11.0,0
22,7,7.0,16.0,58.0,15.5,0
19,2,8.0,8.0,64.0,6.5,0
5,0,12.0,20.0,45.0,10.5,0
9,1,11.0,12.0,50.0,14.0,0
0,12,20.0,6.0,64.0,13.5,0
30,0,14.0,1.0,71.0,10.5,0
26,3,19.0,1.0,61.0,12.5,0
17,5,15.0,0.0,66.0,11.0,0
16,5,16.0,0.0,38.0,7.0,0
27,1,13.0,12.0,52.0,13.5,0
13,12,18.0,4.0,79.0,17.0,0
1,2,10.0,0.0,87.0,12.5,0
28,11,2.0,2.0,62.0,10.0,0
29,3,17.0,25.0,62.0,,0
24,4,9.0,0.0,85.0,2.5,0
28,11,1.0,33.0,29.0,12.666666666666666,1
20,11,3.0,51.0,63.0,8.0,1
18,7,5.0,48.0,65.0,9.0,1
23,8,11.0,31.0,67.0,4.0,0
5,0,7.0,49.0,33.0,9.666666666666666,0
15,4,2.0,22.0,66.0,1.3333333333333333,0
27,1,12.0,79.0,35.0,14.0,0
29,3,13.0,10.0,86.0,19.0,0
16,5,8.0,4.0,93.0,9.333333333333334,0
26,3,15.0,14.0,61.0,12.333333333333334,0
0,12,18.0,1.0,103.0,12.333333333333334,0
9,1,17.0,1.0,98.0,12.333333333333334,0
11,8,14.0,6.0,98.0,5.666666666666667,0
19,2,16.0,28.0,46.0,6.666666666666667,0
30,0,0.0,20.0,76.0,10.666666666666666,0
13,12,19.0,1.0,81.0,16.666666666666668,0
17,5,10.0,0.0,114.0,12.0,0
22,7,6.0,0.0,78.0,12.333333333333334,0
1,2,9.0,8.0,85.0,14.0,0
24,4,4.0,2.0,95.0,8.333333333333334,0
28,11,3.0,33.0,55.0,6.666666666666667,1
15,4,1.0,77.0,66.0,3.0,1
24,4,2.0,97.0,57.0,14.333333333333334,1
20,11,4.0,48.0,60.0,2.6666666666666665,0
23,8,12.0,60.0,70.0,4.0,0
11,8,6.0,59.0,51.0,9.0,0
5,0,5.0,36.0,57.0,9.333333333333334,0
19,2,20.0,28.0,88.0,9.0,0
0,12,18.0,24.0,103.0,11.666666666666666,0
26,3,0.0,3.0,123.0,11.666666666666666,0
1,2,11.0,2.0,113.0,17.333333333333332,0
27,1,9.0,2.0,114.0,13.666666666666666,0
22,7,14.0,10.0,110.0,13.666666666666666,0
13,12,19.0,8.0,98.0,16.666666666666668,0
17,5,15.0,0.0,137.0,15.0,0
16,5,16.0,0.0,93.0,10.666666666666666,0
29,3,0.0,14.0,109.0,13.5,0
9,1,7.0,4.0,130.0,9.666666666666666,0
18,7,8.0,6.0,128.0,5.0,0
30,0,17.0,31.0,117.0,12.333333333333334,0
28,11,2.0,1.0,108.0,6.666666666666667,1
20,11,5.0,102.0,71.0,2.6666666666666665,1
23,8,4.0,79.0,73.0,4.0,1
24,4,3.0,74.0,60.0,14.333333333333334,0
11,8,6.0,60.0,64.0,7.666666666666667,0
5,0,7.0,46.0,65.0,6.666666666666667,0
