Abbreviation,TeamName,GridPosition,Position,Points,Season,RoundNumber,EventName,Podium,Rainfall,AirTemp
NOR,McLaren,1.0,1.0,25.0,2025,1,Australian Grand Prix,1,True,15.7
VER,Red Bull Racing,3.0,2.0,18.0,2025,1,Australian Grand Prix,1,True,15.7
RUS,Mercedes,4.0,3.0,15.0,2025,1,Australian Grand Prix,1,True,15.7
ANT,Mercedes,16.0,4.0,12.0,2025,1,Australian Grand Prix,0,True,15.7
ALB,Williams,6.0,5.0,10.0,2025,1,Australian Grand Prix,0,True,15.7
STR,Aston Martin,13.0,6.0,8.0,2025,1,Australian Grand Prix,0,True,15.7
HUL,Kick Sauber,17.0,7.0,6.0,2025,1,Australian Grand Prix,0,True,15.7
LEC,Ferrari,7.0,8.0,4.0,2025,1,Australian Grand Prix,0,True,15.7
PIA,McLaren,2.0,9.0,2.0,2025,1,Australian Grand Prix,0,True,15.7
HAM,Ferrari,8.0,10.0,1.0,2025,1,Australian Grand Prix,0,True,15.7
GAS,Alpine,9.0,11.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
TSU,Racing Bulls,5.0,12.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
OCO,Haas F1 Team,19.0,13.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
BEA,Haas F1 Team,20.0,14.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
LAW,Red Bull Racing,18.0,15.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
BOR,Kick Sauber,15.0,16.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
ALO,Aston Martin,12.0,17.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
SAI,Williams,10.0,18.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
DOO,Alpine,14.0,19.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
HAD,Racing Bulls,11.0,20.0,0.0,2025,1,Australian Grand Prix,0,True,15.7
PIA,McLaren,1.0,1.0,25.0,2025,2,Chinese Grand Prix,1,False,27.3
NOR,McLaren,3.0,2.0,18.0,2025,2,Chinese Grand Prix,1,False,27.3
RUS,Mercedes,2.0,3.0,15.0,2025,2,Chinese Grand Prix,1,False,27.3
VER,Red Bull Racing,4.0,4.0,12.0,2025,2,Chinese Grand Prix,0,False,27.3
OCO,Haas F1 Team,11.0,5.0,10.0,2025,2,Chinese Grand Prix,0,False,27.3
ANT,Mercedes,8.0,6.0,8.0,2025,2,Chinese Grand Prix,0,False,27.3
ALB,Williams,10.0,7.0,6.0,2025,2,Chinese Grand Prix,0,False,27.3
BEA,Haas F1 Team,17.0,8.0,4.0,2025,2,Chinese Grand Prix,0,False,27.3
STR,Aston Martin,14.0,9.0,2.0,2025,2,Chinese Grand Prix,0,False,27.3
SAI,Williams,15.0,10.0,1.0,2025,2,Chinese Grand Prix,0,False,27.3
HAD,Racing Bulls,7.0,11.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
LAW,Red Bull Racing,20.0,12.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
DOO,Alpine,18.0,13.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
BOR,Kick Sauber,19.0,14.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
HUL,Kick Sauber,12.0,15.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
TSU,Racing Bulls,9.0,16.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
ALO,Aston Martin,13.0,17.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
LEC,Ferrari,6.0,18.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
HAM,Ferrari,5.0,19.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
GAS,Alpine,16.0,20.0,0.0,2025,2,Chinese Grand Prix,0,False,27.3
VER,Red Bull Racing,1.0,1.0,25.0,2025,3,Japanese Grand Prix,1,False,14.4
NOR,McLaren,2.0,2.0,18.0,2025,3,Japanese Grand Prix,1,False,14.4
PIA,McLaren,3.0,3.0,15.0,2025,3,Japanese Grand Prix,1,False,14.4
LEC,Ferrari,4.0,4.0,12.0,2025,3,Japanese Grand Prix,0,False,14.4
RUS,Mercedes,5.0,5.0,10.0,2025,3,Japanese Grand Prix,0,False,14.4
ANT,Mercedes,6.0,6.0,8.0,2025,3,Japanese Grand Prix,0,False,14.4
HAM,Ferrari,8.0,7.0,6.0,2025,3,Japanese Grand Prix,0,False,14.4
HAD,Racing Bulls,7.0,8.0,4.0,2025,3,Japanese Grand Prix,0,False,14.4
ALB,Williams,9.0,9.0,2.0,2025,3,Japanese Grand Prix,0,False,14.4
BEA,Haas F1 Team,10.0,10.0,1.0,2025,3,Japanese Grand Prix,0,False,14.4
ALO,Aston Martin,12.0,11.0,0.0,2025,3,Japanese Grand Prix,0,False,14.4
TSU,Red Bull Racing,14.0,12.0,0.0,2025,3,Japanese Grand Prix,0,False,14.4
GAS,Alpine,11.0,13.0,0.0,2025,3,Japanese Grand Prix,0,False,14.4
SAI,Williams,15.0,14.0,0.0,2025,3,Japanese Grand Prix,0,False,14.4
DOO,Alpine,19.0,15.0,0.0,2025,3,Japanese Grand Prix,0,False,14.4
HUL,Kick Sauber,16.0,16.0,0.0,2025,3,Japanese Grand Prix,0,False,14.4
